state,license_plate,year,model,make,color
CA,7YV 782,,,Ferrari,Silver
CA,7Z O5465,,GTI,Volkswagen,Silver
CA,7Z010,2011,Sequoia,Toyota,Black
CA,7ZO 615,,,Saab,Fuchsia
CA,8-0836T,,,Dodge,Gray
CA,8-14260,2012,3 Series,BMW,Navy
CA,8-14979U,,,Ford,Purple
CA,8-1865X,2007,Prius,Toyota,Green
CA,8-20586,,Versa,Nissan,Lime
CA,8-2551A,2009,Range Rover,Land Rover,Gray
CA,8-38245,2012,,Toyota,Gray
CA,8-8222X,,RAV4,Toyota,Fuchsia
CA,8-84933C,2004,,Volkswagen,Teal
CA,8-88964I,,Accord,Honda,Aqua
CA,8-89109,,Silverado 3500HD,Chevrolet,Navy
CA,8-R9331,,,Toyota,Purple
CA,800 9CK,2007,,Scion,Teal
CA,800STN,,Silverado 3500HD,Chevrolet,Teal
CA,803 3242,,,Acura,Maroon
CA,803 YUC,2012,Sedona,Kia,Black
CA,804 3RM,,,Nissan,Silver
CA,804 7JU,,Colorado,Chevrolet,Navy
CA,804 TUJ,,Silverado 1500,Chevrolet,Teal
CA,805 RPJ,2010,Outlander,Mitsubishi,Green
CA,805 SHK,,,Kia,Yellow
CA,805 VQF,2000,,GMC,Lime
CA,805-KMF,2008,,Toyota,Blue
CA,806 8EM,,Sorento,Kia,Aqua
CA,807-UEA,,,Ford,Maroon
CA,80C 402,,ZDX,Acura,Gray
CA,80G 3969,,Monte Carlo,Chevrolet,Green
CA,80W•998,2007,911,Porsche,Teal
CA,81-44614,,Relay,Saturn,Teal
CA,81-BP32,2006,,GMC,Gray
CA,810-XGHT,,Sebring,Chrysler,Yellow
CA,810XT,,Titan,Nissan,Lime
CA,811-JBB,,Sierra 3500HD,GMC,Navy
CA,811-QAL,2008,Cobalt,Chevrolet,Black
CA,811-WLB,2012,,Kia,Olive
CA,811R,2010,,Lexus,Purple
CA,814-WJW,2011,Titan,Nissan,Purple
CA,814508,,Soul,Kia,Lime
CA,815 0HJ,,,Mitsubishi,Purple
CA,815H,,,Chevrolet,Maroon
CA,816-CDK,,F-150,Ford,Teal
CA,818-FSAZ,,,Ford,Aqua
CA,81B•654,2006,,Nissan,Yellow
CA,81C B86,,Charger,Dodge,Fuchsia
CA,81E 7316,2009,Optima,Kia,Lime
CA,81MG198,2009,F-150,Ford,Lime
CA,81R M84,2006,,Chevrolet,Blue
CA,81Z I39,2008,RAV4,Toyota,Aqua
CA,820 2TS,,Ridgeline,Honda,Black
CA,821-ZMC,,Highlander,Toyota,Black
CA,822-FJZ,,Flex,Ford,Maroon
CA,822AVF,2011,,Toyota,Maroon
CA,826 WAO,,,Ford,Blue
CA,826-RLD,2012,,Volkswagen,Navy
CA,827 4976,2009,DBS,Aston Martin,White
CA,829 2HE,,Pathfinder,Nissan,Lime
CA,83-3208H,,Sierra 3500HD,GMC,Fuchsia
CA,83-4497S,2011,Fiesta,Ford,Yellow
CA,831 SZG,2006,Spectra,Kia,Silver
CA,833 LJI,,,Audi,Fuchsia
CA,833 XHW,,,Toyota,Black
CA,837 LLI,2012,,Cadillac,Lime
CA,837L9,,C30 1 ton P/U 2WD,Chevrolet,Purple
CA,838-BPJ,2008,Camry Solara,Toyota,Yellow
CA,83E S96,,,Buick,Gray
CA,83E•315,,DBS,Aston Martin,Black
CA,83F•733,,,Mercury,Gray
CA,83T S22,,,Chevrolet,Black
CA,84-U338,2007,,GMC,Maroon
CA,8406,,,BMW,Maroon
CA,843 CEL,2007,RAV4,Toyota,Navy
CA,843B,,,Chevrolet,Teal
CA,844 XDQ,,,Chevrolet,Green
CA,848 9553,,,Subaru,Teal
CA,848 TKT,2007,Sierra 2500HD,GMC,Maroon
CA,849OH,2010,,Ferrari,Gray
CA,84E 883,,,Volkswagen,Navy
CA,84GZ201,,,Toyota,Teal
CA,84S•784,2008,,Chevrolet,Maroon
CA,84X•042,2006,Ram Pickup 1500,Dodge,Black
CA,85-50786,2006,Envoy XL,GMC,Green
CA,850QQI,2003,,GMC,Olive
CA,851-ZRM,2007,Freestar,Ford,Lime
CA,853-ROS,2008,,Toyota,Lime
CA,856 OQT,,F-150,Ford,Maroon
CA,857 FZP,2002,,Ford,Olive
CA,857776,2008,,Toyota,Purple
CA,858299,2007,Frontier,Nissan,Purple
CA,858WJA,,Silverado 2500HD,Chevrolet,Olive
CA,85ET941,1998,,Dodge,Aqua
CA,85NK017,,MAZDA3,Mazda,Fuchsia
CA,85V MH9,,Rabbit,Volkswagen,Olive
CA,86-95270,2011,3 Series,BMW,Gray
CA,86-XT31,,,Dodge,Olive
CA,860 RJM,2002,,Ford,Teal
CA,860B,2012,Sierra 3500HD,GMC,White
CA,861 LDR,,,Mazda,White
CA,861P4,,,Dodge,Maroon
CA,862 5589,,Sierra 1500,GMC,Aqua
CA,862 AMQ,,Golf,Volkswagen,Green
CA,863-WMS,,,Mazda,Aqua
CA,864J6,,,Toyota,Aqua
CA,865 TVF,2012,Silverado 3500HD,Chevrolet,Black
CA,8671 LI,,,Chevrolet,Yellow
CA,86P•729,2007,,Subaru,Lime
CA,87-4763U,,,Ford,Green
CA,87-7905A,2006,Avalanche,Chevrolet,Silver
CA,871D2,,,Chevrolet,Olive
CA,872 4OK,2011,,Toyota,Maroon
CA,872 VRR,2007,Colorado,Chevrolet,Blue
CA,872-ERU,2012,,Nissan,Fuchsia
CA,873 0AH,2007,,Honda,Teal
CA,873 IXL,1970,C30 1 ton P/U 2WD,Chevrolet,Maroon
CA,874 ALO,,C30 1 ton P/U 2WD,Chevrolet,Yellow
CA,875-JTX,2009,,Ford,Blue
CA,875-QTF,,Tundra,Toyota,Aqua
CA,8759 IU,,Passat,Volkswagen,Gray
CA,877-VUK,2005,XL-7,Suzuki,Fuchsia
CA,879570,2006,,Honda,Blue
CA,87ME150,,S4,Audi,Aqua
CA,88-SS44,,GTI,Volkswagen,Silver
CA,880 OAV,1986,,Buick,Black
CA,880Q,,,Mercury,White
CA,881 KYX,,S4,Audi,Gray
CA,881-WQF,,,Volkswagen,Gray
CA,882 7TV,,,Chevrolet,Silver
CA,887 2EO,2012,3 Series,BMW,Olive
CA,888 EPS,1996,,Chevrolet,Gray
CA,889 9069,,,Land Rover,Black
CA,8890,,,GMC,Aqua
CA,88P M54,,A6,Audi,Green
CA,88Y 0615,,,Volkswagen,Gray
CA,89-9512U,2012,M6,BMW,Purple
CA,890LWZ,,Sorento,Kia,Lime
CA,891 KBW,,Jetta,Volkswagen,Aqua
CA,891-QMB,,Navigator,Lincoln,Blue
CA,891NKX,,Taurus,Ford,Black
CA,893 0394,2009,Colorado,Chevrolet,Aqua
CA,895-QQO,2008,Titan,Nissan,Fuchsia
CA,896 OXT,,,Volkswagen,Maroon
CA,897I,,F-150,Ford,Gray
CA,898 MMO,2008,7 Series,BMW,Maroon
CA,89AI488,2006,,Honda,Fuchsia
CA,89Q U93,2007,,Chevrolet,Yellow
CA,89S•442,,,Nissan,Lime
CA,89T 431,2009,Element,Honda,Yellow
CA,8AM 851,2006,,Chevrolet,Aqua
CA,8AN Z81,1998,Dakota,Dodge,Aqua
CA,8BH72,2012,F-150,Ford,White
CA,8CG8725,2012,Silverado 3500HD,Chevrolet,Purple
CA,8CW 403,2011,Flex,Ford,Green
CA,8DG4763,2008,TSX,Acura,Lime
CA,8DX M77,1999,F-150,Ford,Maroon
CA,8EE B65,,,Toyota,Green
CA,8FK6725,,CLK-Class,Mercedes-Benz,Maroon
CA,8GHG 58,,Eclipse,Mitsubishi,Purple
CA,8H S6397,,Mountaineer,Mercury,Green
CA,8I 23401,,Silverado 1500,Chevrolet,Blue
CA,8J M2131,2007,Colorado,Chevrolet,Yellow
CA,8K 0L6YIJ,2009,,Chevrolet,Fuchsia
CA,8K 34803,2013,Sorento,Kia,White
CA,8KK3033,,SX4,Suzuki,White
CA,8LJ 659,,Terrain,GMC,Navy
CA,8M 0207X,,,Dodge,Gray
CA,8MKB 34,,Highlander,Toyota,Purple
CA,8N 46876,,,GMC,Navy
CA,8NTC 72,2011,,Hyundai,Fuchsia
CA,8NYS 73,2007,Charger,Dodge,Silver
CA,8OH 799,,300-Class,Mercedes-Benz,Yellow
CA,8OT 364,,Tribeca,Subaru,Teal
CA,8P 1545C,,,Kia,Purple
CA,8PX T94,,MAZDA6,Mazda,Blue
CA,8QD D17,2000,Explorer,Ford,Teal
CA,8QF 066,,,Kia,Teal
CA,8R FU108,2007,,GMC,Maroon
CA,8R OH563,1996,,Chevrolet,Lime
CA,8RR O06,2011,Highlander,Toyota,Gray
CA,8S412,2011,,Honda,Olive
CA,8SC2109,2010,,Ferrari,Aqua
CA,8STN 74,,,Suzuki,Purple
CA,8SX 991,,Grand Caravan,Dodge,Teal
CA,8SY4629,,RAV4,Toyota,Silver
CA,8T OD001,,DBS,Aston Martin,Yellow
CA,8TI8531,,,Nissan,Gray
CA,8V EL363,2012,,Suzuki,Blue
CA,8V X0772,2007,,Suzuki,Green
CA,8VC4691,2010,,GMC,Maroon
CA,8VI 711,1996,Achieva,Oldsmobile,Black
CA,8WZJ 72,2008,Taurus,Ford,White
CA,8XF 328,,Element,Honda,Lime
CA,8Y 67921,2008,Grand Cherokee,Jeep,Green
CA,8YR G21,,Entourage,Hyundai,Maroon
CA,8Z 7P3GRZ,,,Suzuki,Silver
CA,9-0111M,,RAV4,Toyota,Blue
CA,9-20296D,1998,,Dodge,Aqua
CA,9-22970Y,,,Honda,Purple
CA,9-24734,2012,Tundra,Toyota,Olive
CA,9-3706G,2000,Sonoma,GMC,Aqua
CA,9-4163U,2007,,GMC,Olive
CA,9-47489L,2012,S4,Audi,Black
CA,9-65760,2012,Golf,Volkswagen,Fuchsia
CA,9-83678,,Civic,Honda,Maroon
CA,9-84684,,Soul,Kia,Yellow
CA,9-G4649,2010,,Honda,Black
CA,9-K8872,,,Chevrolet,Maroon
CA,9-N2187,,Silverado 3500HD,Chevrolet,Blue
CA,902 ZDZ,,F-150,Ford,Green
CA,902 ZJD,,Navigator,Lincoln,Navy
CA,908-EMC,,Camry Solara,Toyota,Gray
CA,908-IFH,2007,Entourage,Hyundai,Olive
CA,90AN901,2007,RX 350,Lexus,Blue
CA,90GR0,,,Nissan,Silver
CA,91-7401J,2004,Passat,Volkswagen,Black
CA,9146 BO,2011,Flex,Ford,Yellow
CA,914AL,,Equator,Suzuki,Lime
CA,914QPU,2010,,Chevrolet,Silver
CA,914YHY,2005,,Chevrolet,Teal
CA,916 MAF,,Town and Country,Chrysler,Teal
CA,916-YLZ,2007,tC,Scion,Silver
CA,917 CDE,2011,,Ford,Green
CA,918 SDT,,Silverado 2500HD,Chevrolet,Lime
CA,919 DTS,2008,,Suzuki,Navy
CA,919 ORL,2007,,Ford,White
CA,91A•214,2007,Frontier,Nissan,Blue
CA,91OI8,1998,Ram Pickup 2500,Dodge,Blue
CA,921 KUQ,2007,,Mazda,Fuchsia
CA,922WDU,2012,,Nissan,White
CA,923-587,,,Toyota,Gray
CA,925 NDD,,,Suzuki,Teal
CA,926-WEN,,,Ford,Gray
CA,927K6,2007,RX 350,Lexus,Blue
CA,929 QCH,2008,,Chevrolet,Green
CA,929YNB,,,Mazda,Black
CA,92S 1746,2009,,Toyota,Green
CA,93-O906,,Passat,Volkswagen,Fuchsia
CA,930SPC,,Highlander,Toyota,Silver
CA,931MEP,,XF,Jaguar,Black
CA,933 AHB,2010,RL,Acura,Yellow
CA,9348 CB,2008,,Chevrolet,White
CA,935 5235,,Navigator,Lincoln,Navy
CA,936 GRK,2012,,Chevrolet,Teal
CA,937 7ZC,,,Dodge,Silver
CA,938-DBB,2007,MX-5 Miata,Mazda,Lime
CA,93I FC7,2009,MAZDA6,Mazda,Fuchsia
CA,93I S89,,Silverado 1500,Chevrolet,Yellow
CA,93O G16,,Cruze,Chevrolet,Black
CA,93OL999,2009,Impreza,Subaru,Maroon
CA,93S N25,,Regal,Buick,Navy
CA,93X 3131,,,Chrysler,Yellow
CA,93X•264,,Savana Cargo,GMC,Lime
CA,942 OAT,2012,Sierra 3500HD,GMC,Olive
CA,946 QJL,2012,,Subaru,Green
CA,946 RAK,,,Chevrolet,Black
CA,946-HJN,,Element,Honda,Lime
CA,946-MEU,,Mountaineer,Mercury,Blue
CA,949 SCJ,2010,RL,Acura,Green
CA,95-7659Z,2007,Rabbit,Volkswagen,Fuchsia
CA,95-Q069,2012,,Nissan,Gray
CA,952731,,Excursion,Ford,Blue
CA,953-VFR,,,BMW,Navy
CA,954 PEX,,,Chevrolet,Purple
CA,954 ZZG,,GS 350,Lexus,Gray
CA,956GAW,,,Mazda,Blue
CA,957 TSY,,,Honda,Blue
CA,95A 331,2011,,Mercury,Blue
CA,95O•187,2011,Tucson,Hyundai,Yellow
CA,95WA0,2008,SX4,Suzuki,Gray
CA,96-4658N,2012,Tribeca,Subaru,Black
CA,960 3KL,2007,S4,Audi,Blue
CA,960CI,,Silverado 3500,Chevrolet,Black
CA,962057,,Flex,Ford,Aqua
CA,965 XYZ,,,Subaru,Gray
CA,966-HNY,2010,,Ferrari,Aqua
CA,967 QCF,,Silverado 2500HD,Chevrolet,Lime
CA,967-JAG,2012,Equator,Suzuki,Yellow
CA,967GGQ,2009,DTS,Cadillac,Purple
CA,968-ATS,2010,,Nissan,Green
CA,968BOD,,,Toyota,Olive
CA,968N2,2011,CTS Coupe,Cadillac,Maroon
CA,96U SS6,,Cruze,Chevrolet,Green
CA,96Y OJ5,2009,DTS,Cadillac,Black
CA,973 1BG,2011,,GMC,Blue
CA,973 RUO,2009,Commander,Jeep,Aqua
CA,9739,,,Land Rover,Blue
CA,976 TZQ,,S4,Audi,Olive
CA,9764 IO,2012,3 Series,BMW,Gray
CA,9782 CG,2009,DBS,Aston Martin,Gray
CA,97MS2,2008,,Audi,Maroon
CA,98-92700,,Equator,Suzuki,Black
CA,98-H003,2013,,Acura,Green
CA,98-ZQ03,,Silverado 2500HD,Chevrolet,Maroon
CA,981-LWT,,Titan,Nissan,Yellow
CA,981166,,Routan,Volkswagen,Navy
CA,982 9OR,,,Ram,Blue
CA,983 VV2,2012,,Toyota,Gray
CA,983587,,,Toyota,Black
CA,985LDD,2009,,Chevrolet,Olive
CA,986 MVO,,M6,BMW,Maroon
CA,986 WUJ,1990,,Mercedes-Benz,White
CA,987 DRA,,,Chevrolet,Fuchsia
CA,98HK8,,Cruze,Chevrolet,Olive
CA,992 QEV,1976,,GMC,Green
CA,995-KCL,2007,,Saab,Fuchsia
CA,9951 AH,,,Suzuki,Yellow
CA,9959 GJ,,GS 350,Lexus,Navy
CA,998 HBE,2006,Canyon,GMC,Blue
CA,99B 8044,,F-350 Super Duty,Ford,Aqua
CA,99G•226,2010,,Honda,Lime
CA,99MQ8,2012,3 Series,BMW,Blue
CA,9A406,2008,RAV4,Toyota,Green
CA,9B428,2012,,Nissan,Yellow
CA,9BD 540,,,Nissan,Fuchsia
CA,9D511,2010,,Volkswagen,Yellow
CA,9DE 983,,Expedition,Ford,Olive
CA,9DQ 608,2006,Avalanche,Chevrolet,Blue
CA,9EPO349,,Focus,Ford,Green
CA,9EQ7555,2012,Escalade EXT,Cadillac,Navy
CA,9F 9M5SHW,,,Kia,Black
CA,9F M9756,2011,TSX,Acura,Teal
CA,9G 9J8EMU,2007,,Hyundai,Green
CA,9GI B74,,S4,Audi,Teal
CA,9H TV316,2011,RX-8,Mazda,Olive
CA,9HE Z08,,,Ford,Black
CA,9JG L57,,Outlander,Mitsubishi,Silver
CA,9KF 283,,,Honda,Black
CA,9KG8839,,Tundra,Toyota,Gray
CA,9KP 084,2008,,Audi,Gray
CA,9L 5S9KSM,,tC,Scion,Lime
CA,9LC 137,,3500,Ram,Yellow
CA,9M889,,TrailBlazer,Chevrolet,Lime
CA,9MJ 159,,Yukon,GMC,Navy
CA,9MRJ386,2008,Titan,Nissan,Maroon
CA,9O 91832,,Outlander,Mitsubishi,Navy
CA,9OF8255,2009,Civic,Honda,Blue
CA,9PQ K27,2008,Expedition,Ford,White
CA,9Q 55306,2006,S4,Audi,Gray
CA,9QX0476,2006,,GMC,White
CA,9R KV583,,,Ford,Navy
CA,9RUO627,,Corvette,Chevrolet,Maroon
CA,9SW M60,2007,,Ford,Lime
CA,9TU 569,2006,ION,Saturn,Maroon
CA,9TX47,2012,M6,BMW,Teal
CA,9U 2G8IQI,2007,,Toyota,Blue
CA,9UZ X01,2009,Commander,Jeep,Blue
CA,9VL5768,,A6,Audi,Teal
CA,9VR7449,,Savana Cargo,GMC,Navy
CA,9WI 140,2009,,Ford,Silver
CA,9WM Q91,2012,,Porsche,Teal
CA,9XXR928,,,Nissan,Purple
CA,9ZS9689,,,Cadillac,Silver
CA,A59 8KQ,2004,Titan,Nissan,Aqua
CA,A64 1PJ,2010,Tundra,Toyota,Purple
CA,AAN9913,,,GMC,Navy
CA,AAP 906,,,Audi,White
CA,ACJ-8277,1970,,Chevrolet,Aqua
CA,ACU5960,2012,,Ford,White
CA,ADE P81,2010,Yukon,GMC,Navy
CA,ADF 345,,,Oldsmobile,Aqua
CA,ADS 786,2010,,Chevrolet,Yellow
CA,AET 300,,Focus,Ford,Yellow
CA,AF2 T9Z,2012,Regal,Buick,Blue
CA,AFF-1170,,,Mazda,Purple
CA,AHN-7104,,,Chrysler,Gray
CA,AI 1582,2010,,Ford,Navy
CA,AIZ-2513,,tC,Scion,Fuchsia
CA,AKM 554,2007,,Chevrolet,Black
CA,AKU-7045,,,Suzuki,Blue
CA,ALM 923,,Corolla,Toyota,Lime
CA,AMM-9747,,Tundra,Toyota,Olive
CA,ANG 8559,2011,Silverado 1500,Chevrolet,Black
CA,ANR-279,2011,Ridgeline,Honda,Green
CA,ANX 281,,,Ford,Fuchsia
CA,APQ 950,,Colorado,Chevrolet,Blue
CA,AQM H18,,,Chevrolet,Fuchsia
CA,ARG 582,2008,,Dodge,Green
CA,ASG-742,2009,,Ford,Navy
CA,ATB 3687,,Rabbit,Volkswagen,Lime
CA,ATE T93,,Forester,Subaru,Aqua
CA,ATM-5934,,,Lexus,Fuchsia
CA,ATX-1490,2010,,Mitsubishi,White
CA,AU-1482,2009,,Nissan,Fuchsia
CA,AUU 386,2007,Ranger,Ford,Yellow
CA,AV7 S1S,2010,,Mitsubishi,Blue
CA,AXH 176,,,Chevrolet,Yellow
CA,AXN 054,,,Audi,Lime
CA,AZO-210,,Tacoma,Toyota,Yellow
CA,B06-83G,1996,,Oldsmobile,Gray
CA,B18 7AK,1996,,Oldsmobile,Blue
CA,B24 2GT,2008,Silverado 1500,Chevrolet,Green
CA,B44 5RM,2010,,Lexus,White
CA,B59 0QI,2006,Five Hundred,Ford,Navy
CA,B65-71I,2012,370Z,Nissan,Lime
CA,B67 8RC,2002,,Ford,Teal
CA,B82-98I,,Escape Hybrid,Ford,Black
CA,B99 9OY,2012,,Nissan,Silver
CA,BA 5947,,DTS,Cadillac,White
CA,BAA 800,,,GMC,Maroon
CA,BDJ 063,,3500,Ram,Teal
CA,BF2 X8N,,,Dodge,Yellow
CA,BFI C93,1996,,Oldsmobile,Silver
CA,BFN4976,,,Toyota,Teal
CA,BFR 888,,Sierra 2500HD Classic,GMC,Maroon
CA,BHU-828,,,Buick,Green
CA,BJD 757,,Yaris,Toyota,White
CA,BJU 577,,,Chevrolet,Purple
CA,BKA K30,,,BMW,Fuchsia
CA,BKI 063,2009,Forester,Subaru,Black
CA,BKQ 121,,Silverado 3500,Chevrolet,Olive
CA,BKY 595,2011,Grand Vitara,Suzuki,Olive
CA,BLB 4806,2007,Accord,Honda,Olive
CA,BLE4927,,911,Porsche,Gray
CA,BLG3235,,,Volkswagen,Yellow
CA,BLV 899,2008,Grand Caravan,Dodge,Purple
CA,BML 166,2007,F-150,Ford,Black
CA,BNQ-0332,,,Porsche,Blue
CA,BO3 R1V,,,Toyota,Navy
CA,BOL-8079,2007,Rabbit,Volkswagen,Maroon
CA,BPS-3419,2010,,GMC,Maroon
CA,BPT-4726,2012,Maxima,Nissan,Silver
CA,BPY-954,,Silverado 2500HD,Chevrolet,Lime
CA,BRM-3681,,K1500 1/2ton Sub 4WD,GMC,Gray
CA,BRM5714,1996,,Chevrolet,White
CA,BSG 231,2007,,Dodge,Gray
CA,BSR9371,2007,MX-5 Miata,Mazda,Black
CA,BST 871,2007,,Ford,Green
CA,BTH 234,2012,,Lamborghini,Gray
CA,BTJ 429,2001,Sierra 1500,GMC,Aqua
CA,BU-2956,,CLK-Class,Mercedes-Benz,Black
CA,BVY0638,2009,,Chevrolet,Silver
CA,BWK 577,,A4,Audi,Black
CA,BX 24948,,Grand Caravan,Dodge,Lime
CA,BYI-948,,,Chevrolet,Blue
CA,BYN-865,2008,TSX,Acura,Blue
CA,BZU-6326,,XL-7,Suzuki,Aqua
CA,C 641594,2012,,Ford,Aqua
CA,C 681589,2011,Cruze,Chevrolet,Teal
CA,C52-BCK,,Golf,Volkswagen,Olive
CA,C88-32Z,,Durango,Dodge,Aqua
CA,C92-81I,2010,Sienna,Toyota,Navy
CA,CB 45447,,Magnum,Dodge,Silver
CA,CC 8441,2009,,Chevrolet,Navy
CA,CDX-5217,,,Nissan,Teal
CA,CDZ 567,2006,,Chevrolet,Yellow
CA,CF1 8217,2009,Commander,Jeep,Black
CA,CFB 225,,,Dodge,Aqua
CA,CFW4704,,,Mercedes-Benz,Olive
CA,CG-7027,,,Acura,Teal
CA,CGP G36,2012,Versa,Nissan,Gray
CA,CHT-0396,,,Nissan,Navy
CA,CI-1327,2008,Express Cargo,Chevrolet,Fuchsia
CA,CIK 710,2008,,Ford,Olive
CA,CL 2273,2011,Mariner Hybrid,Mercury,Olive
CA,CLC 603,2012,,Subaru,Aqua
CA,CLF 810,2011,,Acura,Teal
CA,CLZ7966,2006,Relay,Saturn,Lime
CA,CM 02436,,,Dodge,Blue
CA,CMV 454,2008,Econoline Wagon,Ford,Purple
CA,CN 7197,2009,,Chevrolet,Maroon
CA,COP5750,2009,DBS,Aston Martin,Green
CA,COT-0462,2011,Cruze,Chevrolet,Silver
CA,CPC 843,,Accord,Honda,Yellow
CA,CQ3 2794,,Spectra,Kia,Silver
CA,CQQ-8504,,,Nissan,Purple
CA,CR0 9061,,Frontier,Nissan,Fuchsia
CA,CTQ2945,,F-250 Super Duty,Ford,Black
CA,CTW-0210,,Corolla,Toyota,Blue
CA,CU 5133,2007,Outback,Subaru,Lime
CA,CVP 1718,,Versa,Nissan,Purple
CA,CVY 439,,,Hyundai,Olive
CA,CW 45074,2007,,Toyota,Aqua
CA,CWD-4314,2012,Tacoma,Toyota,Maroon
CA,CX6 G0U,,,Chevrolet,Aqua
CA,CXU 419,2011,,Lotus,Aqua
CA,CXX7930,2007,,Dodge,White
CA,CYJ 663,2010,,GMC,Blue
CA,D 607671,2000,,GMC,Purple
CA,D 755203,2011,Golf,Volkswagen,Black
CA,D11 4VM,2009,MAZDA6,Mazda,Silver
CA,D16 4WO,2010,,Chevrolet,Yellow
CA,D48 9DV,2007,F-350 Super Duty,Ford,Fuchsia
CA,D88 6DH,,,Volkswagen,Blue
CA,D88-96Y,2008,,Ford,Blue
CA,DA 55384,2006,Silverado 2500HD,Chevrolet,White
CA,DBP-135,,Tacoma,Toyota,Green
CA,DC 9027,2009,,Ford,Fuchsia
CA,DFS-3732,2012,A6,Audi,Green
CA,DFS2617,2008,A4,Audi,Silver
CA,DGC 294,2008,,Toyota,Yellow
CA,DIC 280,,,Suzuki,Gray
CA,DL-3647,2010,MAZDA3,Mazda,Teal
CA,DLN 504,,Highlander,Toyota,Maroon
CA,DNN 929,2010,,Chevrolet,Teal
CA,DOF-8452,2009,,Chevrolet,Olive
CA,DP 6516,,,Land Rover,Black
CA,DQP 667,,,Honda,Yellow
CA,DQW 713,,Escalade,Cadillac,Maroon
CA,DR5 4592,,,Dodge,Yellow
CA,DRJ O97,2011,Ridgeline,Honda,White
CA,DRL 700,2012,,Chevrolet,Blue
CA,DS5 4108,,Express Cargo,Chevrolet,Teal
CA,DSE-7583,2012,Silverado 3500HD,Chevrolet,Aqua
CA,DSP-1317,,,Jeep,Black
CA,DUP P32,2011,3 Series,BMW,Blue
CA,DWP-6390,2006,,Mazda,Fuchsia
CA,DZ 3895,,Titan,Nissan,Lime
CA,DZC 085,2007,,GMC,Blue
CA,DZO 412,2010,,Volkswagen,White
CA,E 456774,2012,,Nissan,Maroon
CA,E 490538,,Ridgeline,Honda,Purple
CA,E36-67V,,,Dodge,Yellow
CA,E46 9WQ,,,Ford,Maroon
CA,E48-00X,,,Volkswagen,Silver
CA,E60-36C,2007,Focus,Ford,Fuchsia
CA,E84-19I,,Silverado 3500HD,Chevrolet,Green
CA,E87 8TS,2012,,Ford,White
CA,E90 0TA,,Golf,Volkswagen,Maroon
CA,EAF-6595,2009,Frontier,Nissan,Lime
CA,EAF1854,2012,,Ford,Black
CA,EAR-1920,2010,,Mazda,Maroon
CA,EDF-3534,2002,,Ford,Navy
CA,EDQ 800,2010,Yukon,GMC,Teal
CA,EEU 072,,Colorado,Chevrolet,Lime
CA,EHL-708,,,Suzuki,Lime
CA,EHT 597,2012,Tundra,Toyota,Gray
CA,EI 4267,,Sierra 2500HD,GMC,Lime
CA,EIF N67,,,Chevrolet,Fuchsia
CA,EJK0697,,Corolla,Toyota,Black
CA,EJS-1519,,MAZDA3,Mazda,Silver
CA,ELL-6696,,,Lexus,Gray
CA,EMQ-9207,,F-150,Ford,Black
CA,EMV Y92,2011,CTS Coupe,Cadillac,Teal
CA,EO 51400,,F-150,Ford,Teal
CA,EOZ 932,,MAZDA6,Mazda,Fuchsia
CA,EP 09251,,Colorado,Chevrolet,Maroon
CA,EPF2191,2009,,Aston Martin,Navy
CA,EQX W43,2013,,Acura,Navy
CA,ER-5568,,F-150,Ford,Silver
CA,ET-6898,,,Mazda,Maroon
CA,ETU-792,,,Toyota,Fuchsia
CA,ETW-3083,,Freestar,Ford,White
CA,EUU-683,2006,,Suzuki,Lime
CA,EV 57378,,Commander,Jeep,Lime
CA,EV4 4728,2009,,Chevrolet,Navy
CA,EVL 700,2008,Mariner,Mercury,White
CA,EVO-2976,2001,Sierra 1500,GMC,Teal
CA,EW-5471,,,Ford,Navy
CA,EWE3563,,Commander,Jeep,Olive
CA,EX6 V3E,2011,Camry,Toyota,Yellow
CA,EZ 40920,2009,,Nissan,Gray
CA,EZ7 4132,,,Chevrolet,Purple
CA,F 406624,2010,,Ford,Teal
CA,F25-VTS,,,Acura,Maroon
CA,F87 5KO,,Titan,Nissan,Fuchsia
CA,F89-26F,2008,Econoline Wagon,Ford,Purple
CA,FAM 421,,,Dodge,Gray
CA,FDE-3668,,Rabbit,Volkswagen,Green
CA,FF 2407,2012,Routan,Volkswagen,Lime
CA,FFR-9039,2010,Outlander,Mitsubishi,Gray
CA,FH1 2128,,,Ford,White
CA,FHN-524,2000,,GMC,Teal
CA,FI 29293,,,Oldsmobile,Teal
CA,FJ4 H2A,2009,,Nissan,Olive
CA,FJT 987,,XL-7,Suzuki,White
CA,FLE-3211,,RAM 150,Dodge,Olive
CA,FMH5156,,Cruze,Chevrolet,Olive
CA,FMT 894,,,Chevrolet,Black
CA,FON-3993,2006,,Audi,Aqua
CA,FPH 590,2012,M6,BMW,Olive
CA,FR 1556,,,GMC,Fuchsia
CA,FRJ 431,,,Mazda,Teal
CA,FS 34987,,,Toyota,Silver
CA,FSA-973,,Sierra 2500HD,GMC,Yellow
CA,FSM-946,2011,Evora,Lotus,Aqua
CA,FSU-6672,2012,Routan,Volkswagen,Lime
CA,FT2 1409,,4Runner,Toyota,Blue
CA,FTX 817,,TSX,Acura,Fuchsia
CA,FU 22242,,,Audi,Lime
CA,FU2 6572,,Freestar,Ford,Yellow
CA,FWJ6571,,Cube,Nissan,Aqua
